,City,Lat,Lng,Max Temp,Humidity,Clouds,Wind Speed,Country,Date
349,santana do livramento,-30.89,-55.53,86.0,25,0,2.89,BR,1582821706
350,vaitape,-16.52,-151.75,82.54,67,100,4.03,PF,1582821706
351,aras,42.56,-2.36,55.4,62,75,11.41,ES,1582821706
352,severnoye,56.35,78.36,18.88,96,91,5.21,RU,1582821706
353,zigong,29.34,104.78,55.81,89,93,3.31,CN,1582821706
354,rong kwang,18.34,100.32,70.88,47,100,2.21,TH,1582821707
355,dhidhdhoo,6.88,73.1,82.8,70,88,6.15,MV,1582821707
356,hailar,49.2,119.7,17.04,95,100,9.15,CN,1582821707
357,san-pedro,4.75,-6.64,83.97,76,2,7.76,CI,1582821707
358,isangel,-19.55,169.27,78.8,88,75,9.17,VU,1582821483
359,labuhan,-6.88,112.21,76.66,92,100,3.29,ID,1582821480
360,nkhotakota,-12.93,34.3,80.67,72,72,10.31,MW,1582821707
361,turinsk,58.05,63.7,21.72,94,85,6.8,RU,1582821707
362,denham springs,30.49,-90.96,50.0,52,1,5.82,US,1582821707
363,banamba,13.55,-7.45,92.7,9,0,4.68,ML,1582821707
364,nardaran,40.56,50.01,48.2,87,0,25.28,AZ,1582821707
365,baghdad,33.34,44.4,64.4,63,0,8.05,IQ,1582821592
366,kamenka,51.32,42.77,46.99,88,100,7.0,RU,1582821670
367,shieli,44.17,66.75,36.18,55,32,7.96,KZ,1582821707
368,oktyabrskoye,43.06,44.74,51.8,53,100,4.47,RU,1582821707
369,el tigre,8.89,-64.25,93.18,29,99,10.25,VE,1582821707
370,qui nhon,13.77,109.23,66.38,93,56,3.04,VN,1582821524
371,la tuque,47.43,-72.78,29.98,97,100,13.67,CA,1582821707
372,nouadhibou,20.93,-17.03,84.2,39,0,10.29,MR,1582821708
373,kiskunfelegyhaza,46.71,19.84,44.6,48,5,9.17,HU,1582821708
374,imbituba,-28.24,-48.67,80.6,47,40,11.41,BR,1582821708
375,alice springs,-23.7,133.88,82.4,28,100,8.05,AU,1582821491
376,visnes,59.36,5.22,37.99,80,75,12.75,NO,1582821708
377,mount gambier,-37.83,140.77,55.4,93,90,5.82,AU,1582821495
378,abong mbang,3.98,13.18,85.53,38,72,2.26,CM,1582821708
379,guerrero negro,27.98,-114.06,70.09,12,12,1.48,MX,1582821501
380,khyriv,49.53,22.85,36.0,70,48,6.82,UA,1582821708
381,oussouye,12.48,-16.55,105.8,49,0,6.93,SN,1582821708
382,andilamena,-17.02,48.58,66.51,96,100,2.8,MG,1582821708
